Record_Time,AccelPedalOperationAccessSoft,AccelPedalOperationAccessSwing,AccelPedalPosition,AirbagDeployed,AirConditionerOn,AntilockBrakingSystemEngaged,AtmosphericPressure,AutomaticTransmissionShiftPosition,BatteryCurrentConsumption,BlowerFanSpeed,BrakeFluidHydraulicPressure,BrakeFluidLevelLow,BrakeLightOn,BrakePedalDepressed,BrakePedalOperationAccessSoft,BrakePedalOperationAccessSwing,CruiseControlActive,CruiseControlSettingSpeed,CurrentStageOfDriver,DefrostRearWindshieldOn,DistanceTravelledTotal,DoorOpenStatusDriver,DoorOpenStatusFuelFillerCap,DoorOpenStatusHood,DoorOpenStatusPassenger,DoorOpenStatusRearLeft,DoorOpenStatusRearRight,DoorOpenStatusTrunk,DriverIdentificationNumber,DrivingTime,ElectronicStabilityControlEngaged,EngineCoolantTemp,EngineOilLifeRemaining,EngineSpeed,EstimatedRangeRemaining,ExteriorTemperature,FrontDefroster,FrontFogLightOn,FrontLeftWheelSpeed,FrontRightWheelSpeed,FrontWiperStatus,FuelConfiguration,FuelEfficiencyInstant,FuelLevel,GearPosition,GpsAltitude,GpsDirection,GpsLatitude,GpsLongitude,HazardLightOn,HeadlightOn,HighbeamOn,IgnitionOffTime,IgnitionOnTime,LateralAcceleration,LeftTurnSignalOn,LevelOfCharge,LightStatus,LongitudinalAcceleration,MeanFuelEfficiencyDrive,Odometer,OdometerSinceRestart,OilLevelLow,ParkingBrakeOn,RearFogLightOn,RearLeftWheelSpeed,RearRightWheelSpeed,RightTurnSignalOn,SeatBeltDriverFastened,SeatBeltPassengerFastened,SteeringOperationAccessSoft,SteeringOperationAccessSwing,SteeringWheelAngle,SteeringWheelPosition,SteeringWheelRotationDirection,TaillightOn,TirePressureLow,TotalFuelConsumptionDrive,TractionControlSystemEngaged,TransmissionMode,TurnIndicatorStatus,VehicleIdentificationNumber,VehicleKeyPosition,VehicleSpeed,WasherFluidLevelLow,WorldManufacturerIdentifier,Yawrate
0,0,0,0.0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0.0000,2,2,2,2,2,2,2,0,0,0,87,100,0,0.0000,0,0,1,0.000,0.000,0,1,0.000,40.5,0,11.409788,140.791824,47.533350,-122.216534,0,0,0,0,3405,-0.03,0,127,0,-0.03,0.00,1202,0.0,0,0,0,0.000,0.000,0,1,1,0,0,1676.6,1,2,0,0,0.000,0,1,0,JM1BM1M34F1227489,2,0.000,0,JM1,75.0
100,0,0,0.0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0.0000,2,2,2,2,2,2,2,0,0,0,87,100,0,0.0000,0,0,1,0.000,0.000,0,1,0.000,40.5,0,11.409788,140.791824,47.533350,-122.216534,0,0,0,0,3405,-0.03,0,127,0,-0.03,0.00,1202,0.0,0,0,0,0.000,0.000,0,1,1,0,0,1676.6,1,0,0,0,0.000,0,1,0,JM1BM1M34F1227489,2,0.000,0,JM1,75.0
200,0,0,0.0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0.0000,2,2,2,2,2,2,2,0,0,0,87,100,0,0.0000,0,0,1,0.000,0.000,0,1,0.000,40.5,0,11.409788,140.791824,47.533350,-122.216534,0,0,0,0,3405,-0.03,0,127,0,-0.03,0.00,1202,0.0,0,0,0,0.000,0.000,0,1,1,0,0,1676.6,1,2,0,0,0.000,0,1,0,JM1BM1M34F1227489,2,0.000,0,JM1,75.0
300,0,0,0.0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0.0000,2,2,2,2,2,2,2,0,0,0,87,100,0,0.0000,0,0,1,0.000,0.000,0,1,0.000,40.5,0,11.409788,140.791824,47.533350,-122.216534,0,0,0,0,3405,-0.03,0,127,0,-0.03,0.00,1202,0.0,0,0,0,0.000,0.000,0,1,1,0,0,1676.6,1,2,0,0,0.000,0,1,0,JM1BM1M34F1227489,3,0.000,0,JM1,75.0
400,0,0,0.0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0.0000,2,2,2,2,2,2,2,0,0,0,87,100,0,0.0000,0,0,1,0.000,0.000,0,1,0.000,40.5,0,11.409788,140.791824,47.533350,-122.216534,0,0,0,0,3405,-0.03,0,127,0,-0.03,0.00,1202,0.0,0,0,0,0.000,0.000,0,1,1,0,0,1676.6,1,0,0,0,0.000,0,1,0,JM1BM1M34F1227489,3,0.000,0,JM1,75.0
500,0,0,0.0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0.0000,2,2,2,2,2,2,2,0,0,0,87,100,0,0.0000,0,0,1,0.000,0.000,0,1,0.000,40.5,0,11.409788,140.791824,47.533350,-122.216534,0,0,0,0,3405,-0.03,0,127,0,-0.03,0.00,1202,0.0,0,0,0,0.000,0.000,0,1,1,0,0,1676.6,1,0,0,0,0.000,0,1,0,JM1BM1M34F1227489,3,0.000,0,JM1,75.0
600,0,0,0.0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0.0000,2,2,2,2,2,2,2,0,0,0,87,100,0,0.0000,0,0,1,0.000,0.000,0,1,0.000,40.5,0,11.409788,140.791824,47.533350,-122.216534,0,0,0,0,3405,-0.03,0,127,0,-0.03,0.00,1202,0.0,0,0,0,0.000,0.000,0,1,1,0,0,1676.6,1,2,0,0,0.000,0,1,0,JM1BM1M34F1227489,3,0.000,0,JM1,75.0
700,0,0,0.0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0.0000,2,2,2,2,2,2,2,0,0,0,87,100,0,0.0000,0,0,1,0.000,0.000,0,1,0.000,40.5,0,11.409788,140.791824,47.533350,-122.216534,0,0,0,0,3405,-0.03,0,127,0,-0.03,0.00,1202,0.0,0,0,0,0.000,0.000,0,1,1,0,0,1676.6,1,0,0,0,0.000,0,1,0,JM1BM1M34F1227489,3,0.000,0,JM1,75.0
800,0,0,0.0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0.0000,2,2,2,2,2,2,2,0,0,0,87,100,0,0.0000,0,0,1,0.000,0.000,0,1,0.000,40.5,0,11.409788,140.791824,47.533350,-122.216534,0,0,0,0,3405,-0.03,0,127,0,-0.03,0.00,1202,0.0,0,0,0,0.000,0.000,0,1,1,0,0,1676.6,1,0,0,0,0.000,0,1,0,JM1BM1M34F1227489,3,0.000,0,JM1,75.0
900,0,0,0.0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0.0000,2,2,2,2,2,2,2,0,0,0,87,100,428,0.0000,0,0,1,0.000,0.000,0,1,0.000,40.5,0,11.409788,140.791824,47.533350,-122.216534,0,0,0,0,3405,-0.03,0,127,0,-0.03,0.00,1202,0.0,0,0,0,0.000,0.000,0,1,1,0,0,1676.6,1,2,0,0,0.000,0,1,0,JM1BM1M34F1227489,3,0.000,0,JM1,75.0
