Record_Time,AccelPedalOperationAccessSoft,AccelPedalOperationAccessSwing,AccelPedalPosition,AirbagDeployed,AirConditionerOn,AntilockBrakingSystemEngaged,AtmosphericPressure,AutomaticTransmissionShiftPosition,BatteryCurrentConsumption,BlowerFanSpeed,BrakeFluidHydraulicPressure,BrakeFluidLevelLow,BrakeLightOn,BrakePedalDepressed,BrakePedalOperationAccessSoft,BrakePedalOperationAccessSwing,CruiseControlActive,CruiseControlSettingSpeed,CurrentStageOfDriver,DefrostRearWindshieldOn,DistanceTravelledTotal,DoorOpenStatusDriver,DoorOpenStatusFuelFillerCap,DoorOpenStatusHood,DoorOpenStatusPassenger,DoorOpenStatusRearLeft,DoorOpenStatusRearRight,DoorOpenStatusTrunk,DriverIdentificationNumber,DrivingTime,ElectronicStabilityControlEngaged,EngineCoolantTemp,EngineOilLifeRemaining,EngineSpeed,EstimatedRangeRemaining,ExteriorTemperature,FrontDefroster,FrontFogLightOn,FrontLeftWheelSpeed,FrontRightWheelSpeed,FrontWiperStatus,FuelConfiguration,FuelEfficiencyInstant,FuelLevel,GearPosition,GpsAltitude,GpsDirection,GpsLatitude,GpsLongitude,HazardLightOn,HeadlightOn,HighbeamOn,IgnitionOffTime,IgnitionOnTime,LateralAcceleration,LeftTurnSignalOn,LevelOfCharge,LightStatus,LongitudinalAcceleration,MeanFuelEfficiencyDrive,Odometer,OdometerSinceRestart,OilLevelLow,ParkingBrakeOn,RearFogLightOn,RearLeftWheelSpeed,RearRightWheelSpeed,RightTurnSignalOn,SeatBeltDriverFastened,SeatBeltPassengerFastened,SteeringOperationAccessSoft,SteeringOperationAccessSwing,SteeringWheelAngle,SteeringWheelPosition,SteeringWheelRotationDirection,TaillightOn,TirePressureLow,TotalFuelConsumptionDrive,TractionControlSystemEngaged,TransmissionMode,TurnIndicatorStatus,VehicleIdentificationNumber,VehicleKeyPosition,VehicleSpeed,WasherFluidLevelLow,WorldManufacturerIdentifier,Yawrate
0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26539,298.422211,47.533812,-122.216238,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
100,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26539,298.422211,47.533812,-122.216238,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
200,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26539,298.422211,47.533812,-122.216238,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
300,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26539,298.422211,47.533812,-122.216238,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
400,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26539,298.422211,47.533812,-122.216238,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
500,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26539,298.422211,47.533812,-122.216238,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
600,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26539,298.422211,47.533812,-122.216238,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
700,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26539,298.422211,47.533812,-122.216238,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
800,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26539,298.422211,47.533812,-122.216238,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
900,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26539,298.422211,47.533812,-122.216238,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
1000,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
1100,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
1200,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
1300,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
1400,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
1500,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
1600,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
1700,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
1800,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
1900,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
2000,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
2100,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
2200,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,0,0,2,JM1,0
2300,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,1,0,2,JM1,0
2400,0,0,0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,87,100,0,0,-128,0,1,0,0,0,1,0,40.5,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,0,0,0,127,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,2,0,0,JM1,75
2500,0,0,0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,87,100,0,0,0,0,1,0,0,0,1,0,40.5,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,3405,-0.03,0,127,0,-0.03,0,1202,0,0,0,0,0,0,0,1,1,0,0,1676.6,1,2,0,0,0,0,1,0,JM1BM1M34F1227489,2,0,0,JM1,75
2600,0,0,0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,87,100,0,0,0,0,1,0,0,0,1,0,40.5,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,3405,-0.03,0,127,0,-0.03,0,1202,0,0,0,0,0,0,0,1,1,0,0,1676.6,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,2,0,0,JM1,75
2700,0,0,0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,87,100,0,0,0,0,1,0,0,0,1,0,40.5,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,3405,-0.03,0,127,0,-0.03,0,1202,0,0,0,0,0,0,0,1,1,0,0,1676.6,1,2,0,0,0,0,1,0,JM1BM1M34F1227489,2,0,0,JM1,75
2800,0,0,0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,87,100,0,0,0,0,1,0,0,0,1,0,40.5,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,3405,-0.03,0,127,0,-0.03,0,1202,0,0,0,0,0,0,0,1,1,0,0,1676.6,1,2,0,0,0,0,1,0,JM1BM1M34F1227489,3,0,0,JM1,75
2900,0,0,0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,87,100,0,0,0,0,1,0,0,0,1,0,40.5,0,17.576376,331.15387,47.53386,-122.216269,0,0,0,0,3405,-0.03,0,127,0,-0.03,0,1202,0,0,0,0,0,0,0,1,1,0,0,1676.6,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,3,0,0,JM1,75
3000,0,0,0,0,0,0,104,1,0,0,-0.0193,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,87,100,0,0,0,0,1,0,0,0,1,0,40.5,0,18.538701,22.838341,47.533982,-122.216229,0,0,0,0,3405,-0.03,0,127,0,-0.03,0,1202,0,0,0,0,0,0,0,1,1,0,0,1676.6,1,0,0,0,0,0,1,0,JM1BM1M34F1227489,3,0,0,JM1,75
